ID,alias,rev,Name,Description,Printing Notes,File Link
BG15D,,1,Bevel Gear,"Bevel gear, 15 teeth, drive gear.","- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/BG15D_bevel_gear.STL
CA2,CA-1,1,Crank Arm,Small crank arm. 2 arms.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CA2_crank_arm.STL
CA1,CA-2,1,Crank Arm,Small crank arm. 1 arm.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CA1_crank_arm.STL
CH2,CH-1,1,Crank Handle,Small crank handle. 2 handles.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none
- After printing, twist the handle grips to break loose for free spinning.",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CH2_crank_handle.STL
CH1,CH-2,1,Crank Handle,Small crank handle. 1 handle.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none
- After printing, twist the handle grip to break loose for free spinning.",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CH1_crank_handle.STL
CHG,CHG-1,1,Crank Handle Grip,Small crank handle grip.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CHG_crank_handle_grip.STL
CP,CP-1,1,Crank Plate,Crank plate for small handles.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CP_crank_plate.STL
CSP,CS-1,1,Crank Spindle,Small crank spindle.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CSP_crank_spindle.STL
CS5,CS5-1,1,Crank Shaft,Crank shaft for 5:1 drive shaft.,"- Infill: 100%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CS5_crank_shaft.STL
CSS,CSS-1,1,Crank Shaft Sleeve,Crank shaft sleeve.,"- Perimeters: 3
- Infill: any/5%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/CSS_crank_shaft_sleeve.STL
DS5O,DS5-1,1,Drive Shaft - output,5:1 output drive shaft.18 mm.,"- Infill: 100%
- Layer height: 0.2 mm
- Supports: none",https://github.com/gearfinity/gearfinity/blob/main/_all_parts/DS5O_drive_shaft.STL
